workload,engine,runs,operations_per_sec,best_operations_per_sec,worst_operations_per_sec,points_per_sec,best_points_per_sec,worst_points_per_sec,logical_mib_per_sec,p50_us,p95_us,p99_us,max_us,sync_p50_ms,sync_p95_ms,sync_p99_ms,sync_max_ms,file_bytes,bytes_per_point,latency_scope
range-10000-raw-warm,sqlite,5,1356.2705736802993,1397.4540042348892,1288.4921805747913,13562705.736802993,13974540.042348891,12884921.805747913,206.95046595463552,731.708,771.208,804.5,9330.584,0.0,0.0,0.0,0.0,35966976.0,0.35966976,operation
storage-constant,nanots,5,5098957.052950693,5412837.693844652,3196851.5707563637,5098957.052950693,5412837.693844652,3196851.5707563637,77.80391010972127,0.041,0.042,0.084,349.584,0.0,0.0,0.0,0.0,800169984.0,80.0169984,operation
storage-constant,sqlite,5,1709747.945635814,1749178.4510689077,1282896.410621016,1709747.945635814,1749178.4510689077,1282896.410621016,26.088683252499603,0.5,0.583,2.25,14.417,329.544958,329.544958,329.544958,329.544958,303190016.0,30.3190016,operation
storage-constant-compressed,chronotail,5,42222003.35273951,44266795.10647756,41335053.273877375,42222003.35273951,44266795.10647756,41335053.273877375,644.25664295562,0.041,0.042,0.083,24.458,0.47525,0.47525,0.47525,0.47525,11556848.0,1.1556848,operation
storage-constant-raw,chronotail,5,21333079.202316232,23021821.23325594,18816715.54700545,21333079.202316232,23021821.23325594,18816715.54700545,325.51695560174915,0.041,0.042,0.042,110.666,1.669208,1.669208,1.669208,1.669208,160637056.0,16.0637056,operation
storage-random,nanots,5,4712878.946648896,5425051.299095208,2433639.5176331783,4712878.946648896,5425051.299095208,2433639.5176331783,71.91282572401269,0.041,0.042,0.125,344.5,0.0,0.0,0.0,0.0,800169984.0,80.0169984,operation
storage-random,sqlite,5,1580405.208963921,1666651.2268097014,1303150.1955888616,1580405.208963921,1666651.2268097014,1303150.1955888616,24.115069716856706,0.5,0.583,2.292,42.5,678.693125,678.693125,678.693125,678.693125,374206464.0,37.4206464,operation
storage-random-compressed,chronotail,5,26055602.00328496,26449953.381957166,23766823.711579155,26055602.00328496,26449953.381957166,23766823.711579155,397.57693486457765,0.041,0.042,0.083,74.667,0.495167,0.495167,0.495167,0.495167,80676208.0,8.0676208,operation
storage-random-raw,chronotail,5,21165691.663436007,21434946.41129429,20844616.915306155,21165691.663436007,21434946.41129429,20844616.915306155,322.96282445428477,0.041,0.042,0.042,107.708,1.536208,1.536208,1.536208,1.536208,160637056.0,16.0637056,operation
storage-smooth,nanots,5,4858169.289207013,5389348.543491962,4423199.326612134,4858169.289207013,5389348.543491962,4423199.326612134,74.12978041392537,0.041,0.042,0.084,469.833,0.0,0.0,0.0,0.0,800169984.0,80.0169984,operation
storage-smooth,sqlite,5,1525829.285832742,1645802.3388705067,1440895.8913602491,1525829.285832742,1645802.3388705067,1440895.8913602491,23.28230721790683,0.5,0.584,2.292,20.042,718.167833,718.167833,718.167833,718.167833,374206464.0,37.4206464,operation
storage-smooth-compressed,chronotail,5,27836162.814796347,27963498.83111596,26015966.888625618,27836162.814796347,27963498.83111596,26015966.888625618,424.7461367003837,0.041,0.042,0.083,56.25,0.52575,0.52575,0.52575,0.52575,56439000.0,5.6439,operation
storage-smooth-raw,chronotail,5,20251718.73805465,20330490.79120153,16568644.741823118,20251718.73805465,20330490.79120153,16568644.741823118,309.0167043770546,0.041,0.042,0.042,107.333,1.483875,1.483875,1.483875,1.483875,160637056.0,16.0637056,operation
storage-spiky,nanots,5,4087763.1147848107,5360897.639422541,3657812.773805575,4087763.1147848107,5360897.639422541,3657812.773805575,62.3743151059694,0.041,0.042,0.125,440.334,0.0,0.0,0.0,0.0,800169984.0,80.0169984,operation
storage-spiky,sqlite,5,1418090.213999062,1664595.8054474522,1336337.1148389857,1418090.213999062,1664595.8054474522,1336337.1148389857,21.638339447007173,0.5,0.584,2.292,17.375,1171.533958,1171.533958,1171.533958,1171.533958,374030336.0,37.4030336,operation
storage-spiky-compressed,chronotail,5,31046772.966284472,32155585.908570774,24113126.7340729,31046772.966284472,32155585.908570774,24113126.7340729,473.7361597638622,0.041,0.042,0.042,54.5,0.56,0.56,0.56,0.56,51395712.0,5.1395712,operation
storage-spiky-raw,chronotail,5,21013001.80957878,21642240.24239309,19827368.06311646,21013001.80957878,21642240.24239309,19827368.06311646,320.6329621822934,0.041,0.042,0.083,109.0,1.691209,1.691209,1.691209,1.691209,160637056.0,16.0637056,operation
